level,remaining_spins,balance,total_spend,add_times
2,2651.0,1.8310012,100,4
3,6203.0,2.664486,100,4
1,874,4.6655006,100,4
1,871,9.666,100,4
1,876,4.6655006,100,4
1,875,1.8320007,100,4
5,18650.0,0.15812683,100,4
1,877,2.6660004,100,4
2,2653.0,2.9989967,100,4
1,878,0.8330002,100,4
3,6188.0,4.8295174,100,4
1,867,2.9990005,100,4
2,2636.0,1.9980011,100,4
1,874,3.3330002,100,4
1,877,2.4995003,100,4
1,877,4.0,100,4
3,6227.0,1.329498,100,4
1,855,0.9975014,100,4
1,873,1.6660004,100,4
1,869,4.9995003,100,4
2,2631.0,7.4974976,100,4
1,875,2.4990005,100,4
6,29012.0,3.9832993,100,4
2,2630.0,4.9985085,100,4
1,869,10.498501,100,4
4,11572.0,3.495472,100,4
1,874,2.8320007,100,4
2,2644.0,0.3314972,100,4
3,6224.0,0.99850845,100,4
2,2638.0,0.3310051,100,4
2,2644.0,4.9974937,100,4
1,864,3.1655006,100,4
1,876,3.3330002,100,4
1,878,2.0,100,4
1,865,2.9985008,100,4
1,861,2.6645012,100,4
3,6220.0,4.3300056,100,4
5,18643.0,3.1579895,100,4
1,879,4.1665,100,4
4,11524.0,3.3259888,100,4
2,2658.0,40.998,100,4
1,862,16.331997,100,4
2,2634.0,4.8305054,100,4
1,866,0.33200073,100,4
1,873,4.9990005,100,4
1,870,2.6655006,100,4
2,2649.0,3.3309975,100,4
1,864,4.165001,100,4
1,877,4.333,100,4
1,870,1.3325005,100,4
1,864,1.831501,100,4
4,11506.0,4.4930496,100,4
3,6226.0,4.664997,100,4
6,29083.0,4.6449013,100,4
1,878,5.3325005,100,4
2,2639.0,3.4985085,100,4
1,861,5.665001,100,4
1,877,1.8325003,100,4
3,6226.0,0.49650192,100,4
1,864,19.4985,100,4
2,2649.0,4.164997,100,4
3,6211.0,7.997509,100,4
1,874,2.4995003,100,4
5,18445.0,0.48475647,100,4
7,42629.0,1.6175461,100,4
2,2646.0,2.8325005,100,4
1,875,6.8320007,100,4
8,63448.0,1.4246674,100,4
2,2654.0,7.665001,100,4
1,868,2.1660004,100,4
1,873,4.3320007,100,4
3,6217.0,9.996994,100,4
9,105109.0,2.3768768,100,4
1,856,1.1645048,100,4
3,6206.0,7.1635017,100,4
2,2646.0,2.331001,100,4
1,866,2.1650007,100,4
1,876,4.4995003,100,4
3,6229.0,1.8310013,100,4
1,865,3.8325005,100,4
1,862,4.331997,100,4
1,873,0.33250046,100,4
5,18636.0,4.1565437,100,4
1,876,4.1655006,100,4
6,29161.0,2.4831731,100,4
1,873,6.1655006,100,4
1,859,2.6655006,100,4
1,858,3.1650047,100,4
1,858,4.665001,100,4
1,874,3.6660004,100,4
1,858,10.665501,100,4
2,2647.0,3.9979935,100,4
4,11548.0,3.4919927,100,4
1,873,1.4990005,100,4
1,869,56.4995,100,4
1,868,1.9990005,100,4
1,878,4.1655006,100,4
2,2638.0,0.4964981,100,4
4,11505.0,3.3285065,100,4
6,28985.0,6.4762497,100,4
1,858,0.8330002,100,4
1,868,0.99900055,100,4
1,874,4.3325005,100,4
3,6216.0,2.9964938,100,4
1,856,1.1655006,100,4
2,2653.0,4.9990005,100,4
1,873,4.1655006,100,4
1,863,1.9990005,100,4
1,874,2.1655006,100,4
1,872,1.3330002,100,4
5,18435.0,1.9861182,100,4
2,2640.0,4.830002,100,4
1,876,4.333,100,4
1,874,3.1665,100,4
4,11568.0,3.9959831,100,4
1,869,13.332001,100,4
1,871,1.6655006,100,4
1,864,2.8325005,100,4
1,864,1.9990005,100,4
3,6186.0,2.1650047,100,4
1,874,3.8325005,100,4
8,63283.0,1.7516022,100,4
2,2665.0,229.33249,100,4
10,191118.0,4238.3594,100,4
4,11549.0,2.3284988,100,4
1,858,4.998501,100,4
4,11574.0,4.995495,100,4
2,2653.0,2.8320045,100,4
2,2652.0,3.331501,100,4
1,867,2.8325005,100,4
1,873,2.8325005,100,4
1,861,2.6660004,100,4
1,879,1.6665001,100,4
2,2673.0,165.665,100,4
1,874,4.1660004,100,4
1,867,4.9990005,100,4
1,875,0.83200073,100,4
1,873,1.3330002,100,4
1,874,6.3320007,100,4
1,861,5.831501,100,4
3,6227.0,3.998001,100,4
1,873,0.99900055,100,4
1,875,1.3330002,100,4
3,6223.0,17.496475,100,4
2,2648.0,1.8310012,100,4
2,2641.0,4.6644974,100,4
1,873,3.1660004,100,4
3,6229.0,0.6645088,100,4
5,18646.0,3.9910202,100,4
