level,remaining_spins,balance,total_spend,add_times
9,105119.0,1.9484293,100,4
2,2605.0,0.5984001,100,4
5,18545.0,0.061603546,100,4
3,6178.0,4.064399,100,4
2,2602.0,1.998405,100,4
4,11496.0,1.1965914,100,4
2,2622.0,0.46560192,100,4
5,18592.0,0.528996,100,4
1,836,2.3992023,100,4
4,11486.0,1.1314025,100,4
8,64141.0,0.51051617,100,4
3,6179.0,1.665611,100,4
1,834,1.7994003,100,4
1,830,0.13280201,100,4
2,2600.0,1.3982,100,4
1,831,0.7319994,100,4
5,18609.0,0.5961981,100,4
1,831,1.3326011,100,4
2,2613.0,1.9988041,100,4
7,43212.0,1.054965,100,4
3,6199.0,0.19860029,100,4
3,6156.0,1.4651945,100,4
1,839,1.4659977,100,4
6,29131.0,0.79285526,100,4
4,11471.0,3.3966153,100,4
5,18452.0,1.7267971,100,4
2,2619.0,1.5326004,100,4
4,11502.0,1.0635929,100,4
7,43161.0,0.2551136,100,4
1,828,1.8657994,100,4
1,844,1.533001,100,4
6,29016.0,1.6574888,100,4
4,11521.0,1.663187,100,4
1,836,1.9320011,100,4
2,2602.0,1.8655982,100,4
2,2612.0,0.6654043,100,4
5,18623.0,1.5965927,100,4
8,64134.0,0.7779379,100,4
2,2624.0,3.5324006,100,4
1,841,1.7993996,100,4
2,2610.0,1.8652039,100,4
3,6162.0,1.6652002,100,4
2,2615.0,0.79860187,100,4
5,18611.0,1.9949932,100,4
6,28893.0,1.7224817,100,4
2,2621.0,1.331604,100,4
5,18448.0,4.927432,100,4
5,18541.0,0.6616211,100,4
10,190740.0,924.61,40,1
1,838,0.46640205,100,4
4,11462.0,1.9962234,100,4
3,6170.0,1.9308088,100,4
4,11546.0,5.931595,100,4
3,6187.0,1.0649898,100,4
1,828,1.466001,100,4
2,2611.0,1.1321998,100,4
10,190356.0,182.80052,60,2
1,844,1.4656029,100,4
2,2618.0,19.4658,100,4
3,6161.0,1.0641975,100,4
4,11464.0,2.8625805,100,4
1,827,1.3326015,100,4
3,6167.0,1.8650017,100,4
4,11544.0,0.9982033,100,4
3,6178.0,1.4652021,100,4
6,29149.0,0.65904,100,4
9,105809.0,0.4908905,100,4
3,6198.0,2.265801,100,4
3,6166.0,1.5976052,100,4
3,6189.0,1.732002,100,4
4,11546.0,1.4647985,100,4
1,846,1.2662022,100,4
3,6184.0,1.9310002,100,4
3,6173.0,0.13199997,100,4
5,18438.0,0.12681007,100,4
1,832,3.0653996,100,4
2,2624.0,0.26580143,100,4
5,18521.0,3.462583,100,4
10,190533.0,548.8838,80,3
3,6178.0,1.3321924,100,4
5,18432.0,0.793411,100,4
2,2606.0,0.7982011,100,4
4,11532.0,1.664607,100,4
3,6174.0,0.86499786,100,4
8,63392.0,1.5670829,100,4
7,42907.0,1.447545,100,4
3,6151.0,1.3984022,100,4
2,2609.0,0.4656,100,4
5,18647.0,1.4632044,100,4
7,42707.0,1.3181639,100,4
3,6190.0,32.5992,100,4
5,18646.0,0.9964142,100,4
9,105816.0,0.35953903,100,4
2,2604.0,0.53239536,100,4
3,6174.0,7.3319926,100,4
4,11454.0,1.4629865,100,4
1,835,1.3988018,100,4
5,18613.0,2.396609,100,4
3,6174.0,1.4655876,100,4
1,828,1.1322007,100,4
4,11527.0,0.86362076,100,4
5,18596.0,1.328804,100,4
8,63636.0,1.2400703,100,4
5,18634.0,0.73020434,100,4
