level,remaining_spins,balance,total_spend,add_times
1,894,8.332001,50,4
1,894,0.0,50,4
1,886,32.999,50,4
1,894,5.0,50,4
3,6230.0,5.32695,50,4
1,894,32.666,50,4
1,891,1.6660004,50,4
1,880,1.6640015,50,4
1,894,0.0,50,4
1,888,7.9980006,50,4
1,894,9.999001,50,4
1,892,5.3320003,50,4
5,18474.0,6.974327,50,4
1,894,5.0,50,4
1,891,9.332001,50,4
1,894,6.666,50,4
1,893,5.6660004,50,4
1,894,7.0,50,4
1,890,8.666,50,4
1,892,2.3330002,50,4
1,894,0.0,50,4
1,893,7.666,50,4
1,893,26.666,50,4
1,891,7.3320007,50,4
1,894,0.0,50,4
1,894,3.3330002,50,4
1,892,6.6660004,50,4
2,2692.0,308.333,50,4
1,892,15.666,50,4
1,885,3.3320007,50,4
1,892,0.0,50,4
1,891,9.666,50,4
1,894,6.6660004,50,4
1,893,1.6650009,50,4
1,877,9.331001,50,4
1,874,1.3320007,50,4
1,894,0.0,50,4
1,894,3.3330002,50,4
2,2647.0,6.330986,50,4
1,894,0.0,50,4
1,894,3.3330002,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,890,8.333,50,4
1,894,4.9990005,50,4
1,882,9.332001,50,4
1,894,9.666,50,4
1,885,0.99900055,50,4
1,894,1.666,50,4
10,190614.0,3275.0127,10,0
1,893,5.0,50,4
1,894,4.9990005,50,4
1,894,0.0,50,4
1,876,9.0,50,4
1,887,7.666,50,4
1,891,25.332,50,4
1,894,3.3320007,50,4
1,894,26.0,50,4
1,877,6.3309937,50,4
1,894,3.3330002,50,4
1,893,1.0,50,4
1,893,9.999001,50,4
1,892,1.6660004,50,4
1,892,1.6660004,50,4
1,893,1.6660004,50,4
1,892,7.999,50,4
1,890,2.6660004,50,4
1,894,6.6660004,50,4
1,894,1.6660004,50,4
1,894,0.0,50,4
1,881,3.3320007,50,4
1,888,21.333,50,4
1,894,0.0,50,4
1,894,12.0,50,4
2,2666.0,4.328003,50,4
1,891,2.0,50,4
1,894,10.666,50,4
1,894,0.0,50,4
1,875,8.999001,50,4
1,894,14.0,50,4
1,891,2.3330002,50,4
1,892,15.666,50,4
1,893,0.0,50,4
1,894,9.999001,50,4
1,893,8.0,50,4
1,894,3.3330002,50,4
1,893,1.6660004,50,4
1,893,3.3330002,50,4
1,894,0.0,50,4
1,890,32.666,50,4
1,892,19.333,50,4
1,894,1.666,50,4
1,876,8.997002,50,4
1,894,0.0,50,4
1,894,18.0,50,4
1,894,0.0,50,4
1,893,4.0,50,4
5,18655.0,7.649124,50,4
1,893,4.0,50,4
1,893,2.0,50,4
6,28898.0,3.949051,50,4
1,894,12.666,50,4
1,886,3.3310013,50,4
10,190340.0,431.67474,30,2
1,889,6.9990005,50,4
1,889,3.3330002,50,4
1,894,0.0,50,4
1,894,12.0,50,4
1,892,1.0,50,4
1,894,0.0,50,4
1,892,0.0,50,4
1,893,1.6660004,50,4
3,6205.0,50.658005,50,4
2,2660.0,5.996002,50,4
1,888,8.333,50,4
1,874,23.665,50,4
1,894,1.6660004,50,4
1,894,3.6660004,50,4
2,2656.0,7.329994,50,4
1,894,0.0,50,4
1,886,1.9990005,50,4
1,894,6.9990005,50,4
1,893,0.0,50,4
1,894,2.0,50,4
1,894,14.666,50,4
1,889,2.0,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,894,8.332001,50,4
2,2694.0,302.333,50,4
1,894,3.3330002,50,4
1,892,105.333,50,4
1,890,18.333,50,4
1,888,7.6660004,50,4
1,889,8.332001,50,4
1,894,6.6660004,50,4
1,886,6.0,50,4
1,894,19.0,50,4
1,894,2.0,50,4
1,894,8.0,50,4
1,894,6.6660004,50,4
1,892,3.3330002,50,4
1,894,0.0,50,4
1,891,0.33200073,50,4
1,894,3.3330002,50,4
1,894,3.3330002,50,4
5,18647.0,3.3109818,50,4
1,894,6.666,50,4
1,894,6.6660004,50,4
2,2666.0,0.33000183,50,4
3,6229.0,9.996002,50,4
1,894,3.333,50,4
1,892,4.6660004,50,4
1,893,3.3320007,50,4
1,894,9.0,50,4
1,894,3.3330002,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,893,10.0,50,4
1,888,4.3320007,50,4
1,894,0.0,50,4
1,893,0.0,50,4
1,892,0.0,50,4
1,894,26.332,50,4
1,893,1.666,50,4
1,876,7.998001,50,4
1,894,0.0,50,4
1,894,3.333,50,4
1,886,2.6660004,50,4
1,881,1.0,50,4
1,894,26.0,50,4
1,894,1.6660004,50,4
1,894,8.332001,50,4
1,894,92.0,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,893,3.6660004,50,4
9,106210.0,8.817131,50,4
1,893,0.0,50,4
1,894,32.666,50,4
2,2667.0,15.330002,50,4
2,2658.0,0.9960098,50,4
1,894,3.333,50,4
1,884,8.333,50,4
1,894,16.666,50,4
1,894,1.666,50,4
1,893,7.666,50,4
1,886,4.9990005,50,4
1,887,6.6660004,50,4
1,894,20.666,50,4
1,894,3.3330002,50,4
1,894,13.333,50,4
1,891,3.3330002,50,4
1,894,0.0,50,4
1,894,0.0,50,4
4,11560.0,35.99005,50,4
1,894,0.0,50,4
1,894,9.0,50,4
1,891,4.9990005,50,4
3,6237.0,0.33003235,50,4
1,892,6.0,50,4
1,894,0.0,50,4
1,886,2.6660004,50,4
1,894,9.0,50,4
1,888,5.9990005,50,4
1,894,25.0,50,4
1,894,9.0,50,4
1,894,1.6660004,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,878,5.6640015,50,4
1,894,0.0,50,4
1,893,1.3330002,50,4
1,892,8.333,50,4
1,891,0.0,50,4
1,894,5.6660004,50,4
1,890,1.6660004,50,4
1,893,37.333,50,4
1,890,5.0,50,4
1,894,9.666,50,4
1,887,6.6660004,50,4
1,878,1.6650085,50,4
1,894,21.666,50,4
1,887,8.332001,50,4
4,11512.0,0.65296936,50,4
1,892,1.0,50,4
1,888,0.0,50,4
10,190933.0,6370.701,30,2
1,893,6.6660004,50,4
1,888,8.332001,50,4
1,894,0.0,50,4
1,891,3.6660004,50,4
1,870,9.998001,50,4
1,893,3.3330002,50,4
1,890,4.9990005,50,4
1,894,6.6660004,50,4
5,18599.0,4.313324,50,4
1,893,12.0,50,4
1,894,26.666,50,4
1,894,19.999,50,4
1,894,0.0,50,4
1,894,8.332001,50,4
1,894,1.6660004,50,4
1,890,24.0,50,4
1,877,8.332001,50,4
1,893,8.333,50,4
1,890,12.332001,50,4
1,894,0.0,50,4
1,894,41.666,50,4
1,894,4.9990005,50,4
1,872,3.3309937,50,4
1,891,11.666,50,4
1,890,8.665001,50,4
1,886,7.9990005,50,4
1,887,9.333,50,4
1,894,11.666,50,4
1,893,7.9990005,50,4
1,879,1.9990005,50,4
1,894,3.3330002,50,4
1,892,7.3320007,50,4
1,890,6.6660004,50,4
1,894,3.3330002,50,4
1,894,9.0,50,4
1,891,1.6660004,50,4
1,894,8.666,50,4
9,105658.0,6.7847443,50,4
1,894,3.3330002,50,4
1,893,3.3330002,50,4
1,894,3.3330002,50,4
1,894,3.333,50,4
1,892,13.332001,50,4
1,894,1.6660004,50,4
1,893,0.0,50,4
1,894,0.0,50,4
1,893,1.0,50,4
1,893,9.333,50,4
5,18653.0,9.320129,50,4
1,894,0.0,50,4
1,882,6.6660004,50,4
5,18572.0,193.63829,50,4
1,892,3.333,50,4
1,890,3.3320007,50,4
1,893,3.6660004,50,4
1,894,15.0,50,4
1,894,9.999001,50,4
1,894,3.333,50,4
1,894,21.0,50,4
1,887,8.332001,50,4
1,894,6.6660004,50,4
1,894,1.6660004,50,4
1,884,1.6650009,50,4
1,891,3.3320007,50,4
1,892,6.6660004,50,4
1,894,9.999001,50,4
1,892,3.3320007,50,4
1,894,0.0,50,4
1,893,6.6660004,50,4
1,894,1.6660004,50,4
1,886,3.665001,50,4
1,894,10.333,50,4
1,893,33.331,50,4
1,892,29.999,50,4
1,893,0.0,50,4
4,11581.0,9.993065,50,4
1,890,0.0,50,4
1,893,0.0,50,4
1,894,0.0,50,4
1,893,0.0,50,4
1,880,7.333,50,4
1,893,2.0,50,4
1,887,9.665001,50,4
1,894,1.6660004,50,4
1,894,6.6660004,50,4
1,891,5.0,50,4
1,886,11.331001,50,4
1,894,7.6660004,50,4
1,894,3.3320003,50,4
1,894,3.3330002,50,4
1,893,22.666,50,4
1,894,3.3330002,50,4
1,894,0.0,50,4
1,888,103.998,50,4
1,894,6.0,50,4
1,894,0.0,50,4
1,891,2.6660004,50,4
1,894,6.0,50,4
3,6226.0,0.99298096,50,4
1,893,7.0,50,4
1,893,9.333,50,4
1,889,7.333,50,4
3,6259.0,1506.665,50,4
1,887,5.333,50,4
1,894,1.666,50,4
1,894,0.0,50,4
2,2655.0,9.995995,50,4
1,894,0.0,50,4
1,894,6.666,50,4
2,2682.0,309.665,50,4
1,893,1.0,50,4
1,894,0.0,50,4
1,890,5.0,50,4
1,880,1.3320007,50,4
1,889,5.333,50,4
1,892,0.99900055,50,4
1,894,3.3330002,50,4
1,885,0.66600037,50,4
1,893,3.3330002,50,4
1,894,10.333,50,4
2,2647.0,4.6640015,50,4
1,891,5.9989996,50,4
1,893,1.6660004,50,4
1,894,12.666,50,4
1,894,0.0,50,4
10,190776.0,4799.6895,10,0
1,894,3.3330002,50,4
1,882,11.999001,50,4
1,891,0.99900055,50,4
1,892,3.0,50,4
1,894,2.0,50,4
1,894,0.0,50,4
1,894,6.6660004,50,4
1,894,3.333,50,4
1,894,138.333,50,4
2,2649.0,8.330002,50,4
1,892,3.3320007,50,4
1,894,0.0,50,4
1,894,5.0,50,4
1,889,4.9990005,50,4
1,892,5.9990005,50,4
1,874,6.6660156,50,4
1,878,5.6660004,50,4
1,894,3.6660004,50,4
6,29142.0,11.628662,50,4
1,894,25.0,50,4
4,11548.0,5.3229675,50,4
1,894,12.0,50,4
1,893,0.0,50,4
1,881,9.331001,50,4
1,892,0.0,50,4
1,883,1.0,50,4
1,894,6.6660004,50,4
1,894,5.0,50,4
1,893,1.0,50,4
1,893,20.0,50,4
1,886,8.999001,50,4
1,894,17.0,50,4
1,894,0.0,50,4
2,2664.0,3.3309784,50,4
1,894,0.0,50,4
1,886,23.0,50,4
1,888,6.664001,50,4
1,894,14.333,50,4
1,892,3.3330002,50,4
7,42747.0,27.258202,50,4
1,894,3.6660004,50,4
1,894,3.3330002,50,4
1,894,11.666,50,4
1,892,4.333,50,4
1,894,3.3330002,50,4
1,894,0.0,50,4
1,894,8.332001,50,4
1,893,3.3330002,50,4
1,874,9.998001,50,4
1,894,8.332001,50,4
1,893,6.0,50,4
1,894,3.3330002,50,4
1,894,4.999,50,4
2,2651.0,7.3280025,50,4
1,892,18.332,50,4
1,889,7.998001,50,4
1,894,0.0,50,4
1,892,9.999001,50,4
1,894,40.666,50,4
1,893,8.666,50,4
1,893,2.6660004,50,4
1,894,4.9990005,50,4
1,894,2.0,50,4
1,878,5.665001,50,4
1,894,9.999001,50,4
2,2662.0,5.996994,50,4
1,894,0.0,50,4
1,892,0.0,50,4
1,889,4.0,50,4
1,894,1.6660004,50,4
1,892,1.0,50,4
1,889,7.6660004,50,4
1,892,64.333,50,4
1,873,13.332001,50,4
1,892,13.333,50,4
1,894,4.999,50,4
1,894,5.0,50,4
1,890,10.999001,50,4
1,894,9.999001,50,4
1,892,1.6660004,50,4
1,891,74.999,50,4
1,894,3.3330002,50,4
1,894,6.6660004,50,4
1,884,8.666,50,4
5,18625.0,2.651146,50,4
2,2663.0,3.3319778,50,4
1,894,0.0,50,4
1,894,0.0,50,4
1,894,3.333,50,4
1,894,0.0,50,4
4,11573.0,8.990974,50,4
1,893,6.6660004,50,4
1,894,6.6660004,50,4
7,43235.0,7.937866,50,4
1,891,0.99900055,50,4
1,894,60.666,50,4
1,893,7.3320007,50,4
1,893,21.0,50,4
1,889,5.0,50,4
1,894,2.0,50,4
1,890,6.0,50,4
1,884,5.9990005,50,4
1,894,0.0,50,4
1,894,1.666,50,4
1,894,3.3330002,50,4
1,894,0.0,50,4
1,890,4.333,50,4
1,894,0.0,50,4
3,6239.0,3.665039,50,4
1,888,94.666,50,4
1,894,1.6660004,50,4
1,894,0.0,50,4
1,887,6.665001,50,4
1,894,0.0,50,4
1,888,3.9990005,50,4
1,894,8.333,50,4
1,892,0.0,50,4
1,894,0.0,50,4
1,888,3.3330002,50,4
1,894,7.0,50,4
1,894,0.0,50,4
1,892,31.666,50,4
1,893,3.666,50,4
1,893,5.333,50,4
1,894,6.9990005,50,4
1,894,5.0,50,4
1,885,9.666,50,4
1,891,3.6660004,50,4
1,894,0.0,50,4
2,2658.0,2.331009,50,4
1,894,0.0,50,4
1,889,4.9990005,50,4
2,2650.0,3.9940033,50,4
1,894,3.333,50,4
1,891,3.0,50,4
1,886,8.0,50,4
2,2646.0,9.327988,50,4
1,894,3.333,50,4
1,894,6.666,50,4
1,894,0.0,50,4
1,894,3.3330002,50,4
1,893,8.665001,50,4
1,893,1.666,50,4
1,894,9.999001,50,4
1,891,3.0,50,4
1,881,1.3330002,50,4
9,104627.0,13.696938,50,4
1,894,5.0,50,4
1,892,3.3320007,50,4
1,893,5.0,50,4
1,893,7.6660004,50,4
1,894,5.0,50,4
1,894,6.6660004,50,4
1,894,0.0,50,4
1,894,17.0,50,4
1,894,3.3330002,50,4
1,891,8.333,50,4
1,885,3.6660004,50,4
1,894,0.0,50,4
1,894,7.0,50,4
1,894,3.3330002,50,4
1,894,1.6660004,50,4
1,893,4.9990005,50,4
1,894,0.0,50,4
1,888,5.333,50,4
1,876,7.998993,50,4
1,893,0.33300018,50,4
1,881,6.3320007,50,4
1,886,5.9990005,50,4
2,2693.0,249.99799,50,4
7,42956.0,26.589401,50,4
1,894,3.3330002,50,4
1,894,5.0,50,4
1,893,0.99900055,50,4
1,894,6.6660004,50,4
1,894,8.333,50,4
1,888,6.665001,50,4
1,893,213.332,50,4
1,892,4.333,50,4
1,893,14.0,50,4
1,889,6.3320003,50,4
1,893,9.999001,50,4
1,891,9.332001,50,4
1,884,10.999001,50,4
5,18647.0,6.6482162,50,4
1,894,6.6660004,50,4
1,892,7.333,50,4
1,891,29.665,50,4
1,893,9.0,50,4
4,11516.0,5.319977,50,4
1,894,40.0,50,4
1,894,7.6660004,50,4
1,894,6.6660004,50,4
1,894,11.666,50,4
1,894,0.0,50,4
1,887,80.999,50,4
5,18475.0,3.9694214,50,4
1,894,6.666,50,4
1,894,13.332001,50,4
1,893,0.0,50,4
1,892,0.66600037,50,4
1,894,1.6660004,50,4
1,889,4.6660004,50,4
1,894,9.999001,50,4
1,894,3.3330002,50,4
1,894,1.6660004,50,4
1,892,0.0,50,4
1,892,0.66600037,50,4
1,892,1.6660004,50,4
1,894,0.0,50,4
1,894,6.6660004,50,4
9,104442.0,6.373825,50,4
1,893,6.333,50,4
1,893,8.332001,50,4
4,11575.0,0.9899826,50,4
1,894,6.666,50,4
6,28950.0,8.9446945,50,4
1,894,3.333,50,4
1,880,4.6640015,50,4
1,894,54.0,50,4
1,894,0.0,50,4
5,18623.0,4.9790115,50,4
3,6201.0,4.9920197,50,4
3,6232.0,2.995964,50,4
1,894,0.0,50,4
1,877,11.665009,50,4
1,894,6.6660004,50,4
1,879,14.332001,50,4
1,894,6.6660004,50,4
1,887,7.333,50,4
1,894,4.0,50,4
1,892,4.333,50,4
