level,remaining_spins,balance,total_spend,add_times
1,885,4.9990005,100,4
1,889,8.0,100,4
1,878,93.665,100,4
2,2643.0,4.9970093,100,4
1,889,3.3330002,100,4
1,882,21.666,100,4
1,867,25.332,100,4
1,887,1.6660004,100,4
2,2656.0,6.665001,100,4
3,6219.0,9.992966,100,4
6,29009.0,5.287956,100,4
1,880,14.664001,100,4
1,885,4.333,100,4
1,883,14.333,100,4
1,886,23.666,100,4
1,887,3.333,100,4
1,885,7.9990005,100,4
2,2663.0,7.6650085,100,4
1,876,4.665008,100,4
1,889,0.0,100,4
1,887,4.333,100,4
7,43117.0,7.600319,100,4
1,884,6.9990005,100,4
3,6199.0,21.992897,100,4
1,887,8.666,100,4
1,886,6.6660004,100,4
1,885,2.6660004,100,4
1,886,9.332001,100,4
5,18498.0,6.639366,100,4
1,886,12.332001,100,4
2,2650.0,9.330002,100,4
1,889,0.0,100,4
1,888,3.3330002,100,4
10,191777.0,16040.102,20,0
1,889,11.333,100,4
1,879,0.0,100,4
1,887,2.3330002,100,4
1,888,15.333,100,4
2,2661.0,7.9980087,100,4
1,889,0.0,100,4
1,887,7.3320007,100,4
6,29138.0,8.959358,100,4
1,889,8.333,100,4
1,885,8.666,100,4
6,29163.0,2.3025208,100,4
1,888,4.0,100,4
1,883,11.665001,100,4
1,884,5.333,100,4
2,2650.0,23.997017,100,4
1,882,1.6660004,100,4
1,879,9.663002,100,4
1,888,3.3330002,100,4
1,887,3.3320007,100,4
1,879,2.3310013,100,4
3,6219.0,9.66198,100,4
1,884,3.3320007,100,4
1,889,7.0,100,4
2,2657.0,28.328987,100,4
1,886,3.0,100,4
1,889,9.333,100,4
1,871,7.331993,100,4
1,888,6.9989996,100,4
1,888,8.332001,100,4
2,2643.0,9.996017,100,4
5,18687.0,6.98407,100,4
1,889,16.999,100,4
2,2655.0,9.331978,100,4
3,6238.0,25.32602,100,4
1,888,3.3330002,100,4
2,2662.0,0.66500854,100,4
1,886,3.3330002,100,4
1,881,29.999,100,4
1,889,30.0,100,4
1,882,28.332,100,4
2,2641.0,2.6629715,100,4
1,889,8.332001,100,4
1,885,14.999001,100,4
1,888,1.6660004,100,4
