level,remaining_spins,balance,total_spend,add_times
5,18521.0,7.305237,250,4
1,868,3.9960022,250,4
5,18700.0,313.322,250,4
4,11483.0,1.6520844,250,4
2,2645.0,1.9939957,250,4
2,2639.0,6.9970016,250,4
1,850,9.996994,250,4
3,6204.0,3.323967,250,4
2,2636.0,2.3300018,250,4
4,11595.0,211.66202,250,4
1,854,19.997002,250,4
1,870,7.333,250,4
1,860,0.99700165,250,4
6,29146.0,3.9650955,250,4
1,851,4.663002,250,4
2,2648.0,7.3320007,250,4
4,11491.0,2.316986,250,4
1,867,9.331001,250,4
5,18452.0,3.303154,250,4
1,858,5.998001,250,4
1,852,8.332001,250,4
2,2644.0,44.330994,250,4
1,855,3.998001,250,4
1,865,7.6640015,250,4
1,871,1.3330002,250,4
4,11561.0,26.321968,250,4
4,11593.0,308.324,250,4
2,2649.0,9.997002,250,4
5,18523.0,8.639282,250,4
1,869,83.333,250,4
1,858,4.9970016,250,4
7,42978.0,0.9254608,250,4
1,858,0.6650009,250,4
1,867,9.332001,250,4
4,11543.0,6.9879684,250,4
1,856,9.997993,250,4
2,2639.0,9.329002,250,4
2,2641.0,2.6630096,250,4
2,2633.0,4.9979935,250,4
4,11561.0,4.3210526,250,4
1,855,4.998001,250,4
2,2647.0,29.996002,250,4
2,2640.0,12.331009,250,4
4,11530.0,2.646988,250,4
1,853,5.328003,250,4
4,11565.0,5.990036,250,4
1,874,5.0,250,4
1,867,6.9990005,250,4
1,857,8.998001,250,4
1,866,6.6660004,250,4
2,2634.0,7.9970016,250,4
1,862,2.9950027,250,4
1,871,11.665001,250,4
5,18509.0,8.643425,250,4
3,6213.0,6.9940186,250,4
1,862,14.332001,250,4
1,852,7.996002,250,4
1,871,9.999001,250,4
2,2638.0,36.659004,250,4
3,6205.0,6.66304,250,4
1,872,7.9990005,250,4
5,18669.0,5.987213,250,4
1,870,5.3320007,250,4
2,2632.0,7.993988,250,4
5,18560.0,8.64415,250,4
3,6177.0,4.994011,250,4
1,867,9.998001,250,4
1,859,3.9980009,250,4
6,29048.0,5.6199875,250,4
2,2634.0,2.9939957,250,4
1,871,7.3320007,250,4
3,6219.0,4.6630325,250,4
1,855,2.3320007,250,4
1,866,1.3310013,250,4
3,6206.0,6.6590037,250,4
2,2632.0,9.995003,250,4
1,862,7.3320007,250,4
4,11561.0,9.993034,250,4
3,6223.0,63.99601,250,4
3,6192.0,2.9910202,250,4
1,860,1.3300018,250,4
1,870,9.333,250,4
2,2626.0,3.6650085,250,4
4,11522.0,76.65896,250,4
6,28893.0,17.609985,250,4
1,855,9.665001,250,4
1,873,10.666,250,4
1,858,8.330002,250,4
1,860,7.6640015,250,4
2,2636.0,7.99601,250,4
1,864,2.6660004,250,4
1,859,4.3310013,250,4
1,870,6.3310013,250,4
8,63965.0,4.21933,250,4
4,11574.0,8.992989,250,4
1,867,5.665001,250,4
9,106315.0,6.500107,250,4
1,863,6.665001,250,4
1,861,3.665001,250,4
1,865,21.664001,250,4
1,868,3.9990005,250,4
1,871,2.998001,250,4
3,6213.0,5.3320236,250,4
5,18623.0,13.647011,250,4
1,854,8.998001,250,4
3,6176.0,2.324974,250,4
1,869,13.332001,250,4
1,863,12.330002,250,4
1,863,39.998,250,4
1,866,10.332001,250,4
4,11558.0,5.3239822,250,4
2,2642.0,8.330009,250,4
4,11579.0,263.993,250,4
2,2646.0,6.6600037,250,4
3,6210.0,7.659958,250,4
7,43265.0,7.274887,250,4
3,6205.0,0.65693665,250,4
1,861,0.9980011,250,4
4,11558.0,2.9869843,250,4
1,865,4.3320007,250,4
4,11507.0,3.653946,250,4
7,42828.0,4.905609,250,4
4,11493.0,6.321953,250,4
2,2635.0,6.661995,250,4
3,6223.0,8.325005,250,4
1,860,5.664001,250,4
7,43229.0,8.597931,250,4
1,869,2.6640015,250,4
4,11519.0,18.988144,250,4
4,11557.0,42.659958,250,4
1,867,9.665001,250,4
1,867,7.3310013,250,4
3,6177.0,8.657982,250,4
2,2648.0,1.9970093,250,4
1,863,4.998001,250,4
1,867,4.3320007,250,4
1,873,6.666,250,4
5,18661.0,7.981926,250,4
2,2649.0,3.998001,250,4
1,874,10.332001,250,4
2,2641.0,20.32801,250,4
4,11565.0,3.3229675,250,4
1,864,9.330002,250,4
1,854,0.33000183,250,4
1,870,8.663002,250,4
1,871,0.66600037,250,4
3,6189.0,11.327011,250,4
1,853,8.998001,250,4
2,2642.0,0.66400146,250,4
1,873,6.6660004,250,4
1,862,5.9940033,250,4
3,6184.0,6.3239746,250,4
1,871,3.9990005,250,4
4,11558.0,9.993027,250,4
5,18652.0,1.6501923,250,4
7,42581.0,8.900124,250,4
1,874,8.332001,250,4
3,6187.0,1.9929882,250,4
1,857,5.6660004,250,4
2,2640.0,5.66201,250,4
6,28989.0,4.948845,250,4
1,869,6.665001,250,4
1,863,9.666,250,4
4,11488.0,1.9870605,250,4
3,6200.0,0.9860153,250,4
2,2632.0,1.3290024,250,4
2,2641.0,0.66400146,250,4
3,6209.0,12.659004,250,4
7,43208.0,8.606186,250,4
10,190953.0,6619.3745,50,0
1,871,6.665001,250,4
1,872,2.3310008,250,4
5,18419.0,1.3040619,250,4
1,868,8.332001,250,4
8,63539.0,7.8474803,250,4
2,2643.0,6.6640015,250,4
5,18770.0,1656.658,250,4
1,871,0.9980011,250,4
3,6211.0,6.661995,250,4
1,865,1.3330002,250,4
4,11553.0,7.65403,250,4
1,863,7.6640015,250,4
1,852,14.997002,250,4
1,862,3.3290024,250,4
1,872,18.333,250,4
1,859,5.330002,250,4
5,18660.0,9.98494,250,4
9,105235.0,5.754707,250,4
6,29062.0,8.960358,250,4
2,2631.0,8.329971,250,4
1,864,22.664001,250,4
1,863,2.998001,250,4
2,2646.0,8.998009,250,4
3,6203.0,16.323997,250,4
1,869,8.999001,250,4
1,869,8.999001,250,4
1,865,4.3310013,250,4
1,871,8.666,250,4
5,18666.0,2.320015,250,4
1,857,3.9970016,250,4
1,855,3.998001,250,4
1,871,2.3300014,250,4
1,863,5.665001,250,4
1,873,16.665,250,4
1,866,22.997002,250,4
1,866,4.6660004,250,4
1,869,2.665001,250,4
4,11554.0,1.3219223,250,4
1,857,5.3310013,250,4
2,2641.0,3.6620026,250,4
2,2628.0,1.9989929,250,4
2,2628.0,2.3289948,250,4
1,868,21.999,250,4
1,865,3.3320007,250,4
9,106020.0,6.467514,250,4
2,2634.0,6.3280106,250,4
2,2648.0,8.663002,250,4
1,856,3.661003,250,4
1,868,5.998001,250,4
1,873,8.333,250,4
3,6197.0,14.993965,250,4
1,858,5.665001,250,4
1,867,3.6660004,250,4
6,29049.0,7.947571,250,4
1,868,2.3290024,250,4
6,28980.0,10.287926,250,4
1,872,6.664001,250,4
1,871,9.999001,250,4
1,866,9.332001,250,4
1,866,1.663002,250,4
1,851,4.9990005,250,4
1,867,9.331001,250,4
1,871,3.665001,250,4
1,868,0.99900055,250,4
1,873,15.666,250,4
9,105657.0,5.1053085,250,4
1,871,1.666,250,4
1,859,0.33000183,250,4
3,6216.0,5.995987,250,4
1,860,6.3290024,250,4
1,854,8.330002,250,4
2,2650.0,16.328003,250,4
1,868,3.6640015,250,4
1,863,16.995003,250,4
4,11511.0,0.98905945,250,4
10,191542.0,12679.405,250,4
