level,remaining_spins,balance,total_spend,add_times
1,888,1.6660004,50,4
1,887,0.0,50,4
1,889,0.8330002,50,4
1,889,2.4995003,50,4
4,11544.0,4.160969,50,4
3,6210.0,2.9970016,50,4
1,887,2.4990005,50,4
3,6236.0,4.665001,50,4
2,2657.0,14.332497,50,4
1,887,15.833,50,4
3,6208.0,4.9959908,50,4
1,885,3.3330002,50,4
1,886,4.333,50,4
1,865,2.9989967,50,4
2,2658.0,4.165497,50,4
1,880,2.1660004,50,4
1,888,0.33300018,50,4
1,889,2.6665,50,4
1,889,1.6665001,50,4
1,882,4.833,50,4
2,2641.0,2.9960022,50,4
2,2653.0,4.166004,50,4
4,11520.0,4.6605225,50,4
1,888,3.3330002,50,4
1,889,0.0,50,4
3,6221.0,3.1629944,50,4
1,873,6.498501,50,4
5,18599.0,0.1570549,50,4
1,888,4.8325005,50,4
1,889,3.3330002,50,4
1,888,5.1665,50,4
1,888,0.5,50,4
1,884,0.66550064,50,4
3,6252.0,110.4975,50,4
3,6228.0,3.4965172,50,4
1,887,0.49950027,50,4
6,29112.0,2.1464386,50,4
1,887,0.8330002,50,4
1,889,7.5,50,4
1,871,2.6655006,50,4
1,883,3.1665,50,4
1,870,3.1655006,50,4
1,887,4.9995003,50,4
1,888,4.333,50,4
1,865,2.6660042,50,4
1,883,1.1655006,50,4
3,6221.0,154.66452,50,4
1,889,8.332001,50,4
1,879,1.1665001,50,4
1,883,1.8330002,50,4
3,6237.0,0.8310051,50,4
2,2656.0,4.829994,50,4
1,871,3.1660042,50,4
1,885,3.3330002,50,4
3,6252.0,106.499504,50,4
1,879,7.1655006,50,4
1,886,1.6660004,50,4
1,887,3.5,50,4
1,876,4.4995003,50,4
1,887,1.1665001,50,4
1,877,3.499504,50,4
1,874,16.332,50,4
1,885,5.5,50,4
3,6220.0,1.8294907,50,4
1,885,1.8325002,50,4
1,888,4.6660004,50,4
1,888,1.6660004,50,4
1,884,22.9995,50,4
1,882,2.4990003,50,4
1,887,1.6665001,50,4
5,18682.0,21.325603,50,4
1,884,0.8330002,50,4
1,886,3.8325005,50,4
1,889,4.0,50,4
1,889,72.333,50,4
3,6228.0,4.8294907,50,4
10,191999.0,8548.884,50,4
1,880,4.833,50,4
1,884,50.4995,50,4
1,889,0.833,50,4
3,6208.0,1.8314934,50,4
1,886,8.1665,50,4
1,887,4.1665,50,4
1,876,4.4990005,50,4
1,884,2.3320007,50,4
1,888,2.6665,50,4
1,888,4.1665,50,4
1,888,4.833,50,4
4,11581.0,1.3294792,50,4
1,882,12.8325,50,4
1,889,5.833,50,4
1,875,2.6655002,50,4
1,868,0.66550064,50,4
1,889,0.0,50,4
1,887,1.3330002,50,4
1,889,1.6665,50,4
1,887,4.1655006,50,4
1,889,2.4995003,50,4
7,43209.0,3.300682,50,4
1,883,3.1655006,50,4
1,875,28.1655,50,4
1,888,4.9995003,50,4
1,880,10.9995,50,4
1,887,3.3325005,50,4
1,887,2.5,50,4
1,888,3.333,50,4
1,889,1.6660004,50,4
1,889,2.4995003,50,4
1,879,9.1665,50,4
1,889,3.3330002,50,4
1,878,4.998501,50,4
1,880,11.833,50,4
1,889,1.6665001,50,4
1,882,5.8325005,50,4
1,865,3.8314972,50,4
1,886,9.9995,50,4
1,878,4.4995003,50,4
1,881,4.0,50,4
2,2650.0,14.165493,50,4
1,886,3.6650004,50,4
1,887,3.6660004,50,4
1,886,3.6665,50,4
1,888,2.5,50,4
1,868,2.8320084,50,4
1,877,2.1660004,50,4
1,871,13.832508,50,4
1,889,6.6665,50,4
1,881,3.1660004,50,4
1,889,3.3330002,50,4
1,880,2.4990005,50,4
1,888,0.0,50,4
1,886,3.1660004,50,4
1,889,12.4995,50,4
1,883,1.0,50,4
1,885,0.9995001,50,4
1,870,8.165501,50,4
1,887,0.0,50,4
1,885,0.83250046,50,4
1,881,4.333,50,4
1,884,9.165001,50,4
1,884,4.833,50,4
1,885,0.6665001,50,4
1,889,3.3330002,50,4
1,874,3.3324966,50,4
4,11541.0,1.9940069,50,4
1,882,0.8330002,50,4
1,885,2.9995003,50,4
1,879,16.9995,50,4
1,888,0.0,50,4
1,889,4.9995003,50,4
1,876,1.4990005,50,4
1,887,4.1660004,50,4
1,889,4.5,50,4
1,886,7.333,50,4
7,42842.0,3.1232948,50,4
4,11553.0,4.994007,50,4
1,889,4.1660004,50,4
1,885,2.4990005,50,4
2,2660.0,3.4990082,50,4
1,889,0.0,50,4
1,887,2.8330002,50,4
4,11515.0,2.1610413,50,4
1,885,5.3325005,50,4
1,889,3.8330002,50,4
2,2646.0,4.664997,50,4
1,888,2.4995003,50,4
1,883,0.5,50,4
1,888,1.0,50,4
4,11494.0,24.994553,50,4
1,879,0.99900055,50,4
1,889,0.0,50,4
3,6212.0,0.66399384,50,4
1,874,3.8320007,50,4
1,885,4.5,50,4
2,2648.0,4.331501,50,4
1,880,1.9995,50,4
1,889,1.6665001,50,4
1,888,5.9995003,50,4
1,866,2.8314972,50,4
1,888,2.1665,50,4
1,889,6.1665,50,4
1,882,1.9995003,50,4
1,889,0.0,50,4
4,11588.0,0.49596024,50,4
1,887,0.49950027,50,4
4,11568.0,7.828064,50,4
1,872,1.6660004,50,4
2,2640.0,2.6645012,50,4
1,887,3.1665,50,4
1,886,2.3325005,50,4
6,28932.0,0.30570984,50,4
1,889,3.3330002,50,4
1,887,0.16650009,50,4
1,889,0.0,50,4
1,887,0.8330002,50,4
1,883,3.3325005,50,4
1,889,0.0,50,4
1,889,2.5,50,4
1,883,3.9995003,50,4
3,6226.0,4.6629906,50,4
3,6219.0,5.9955025,50,4
2,2661.0,2.9975014,50,4
1,887,2.4990005,50,4
1,885,1.3325002,50,4
3,6226.0,3.331501,50,4
1,888,4.1665,50,4
1,889,2.5,50,4
3,6217.0,1.3299942,50,4
1,889,3.3330002,50,4
3,6230.0,3.8309975,50,4
1,887,0.83250046,50,4
1,885,7.333,50,4
1,889,3.6665,50,4
1,888,2.1665,50,4
1,887,3.833,50,4
2,2659.0,3.164997,50,4
1,889,1.6665001,50,4
1,880,1.6655006,50,4
1,873,1.833,50,4
3,6207.0,4.8294907,50,4
1,872,1.8325005,50,4
1,887,2.6660004,50,4
3,6195.0,2.6635017,50,4
1,866,6.498497,50,4
1,888,6.333,50,4
1,883,3.3330002,50,4
1,884,6.833,50,4
1,888,4.333,50,4
1,887,2.8330002,50,4
1,881,4.6660004,50,4
1,877,4.9995003,50,4
1,871,4.4979973,50,4
1,886,0.33300018,50,4
1,879,3.3320007,50,4
1,889,0.0,50,4
1,889,4.0,50,4
1,883,2.6665,50,4
1,881,0.83250046,50,4
2,2663.0,1.8310013,50,4
1,888,4.3325005,50,4
1,889,2.4990003,50,4
1,885,4.9990005,50,4
1,888,0.0,50,4
1,889,1.6665001,50,4
1,873,2.8325005,50,4
1,876,0.0,50,4
1,887,3.3330002,50,4
1,886,4.4995003,50,4
1,865,0.3319931,50,4
2,2644.0,3.3324966,50,4
1,875,4.8325005,50,4
1,889,3.3330002,50,4
1,885,3.8330002,50,4
2,2662.0,3.3330002,50,4
1,886,10.5,50,4
1,883,1.6665001,50,4
1,869,3.4985008,50,4
1,887,1.3330002,50,4
1,889,1.6665001,50,4
1,886,4.8325005,50,4
3,6217.0,0.16500854,50,4
1,885,1.6660004,50,4
3,6225.0,3.3299713,50,4
1,889,1.6665001,50,4
3,6228.0,0.33050537,50,4
1,878,3.4995003,50,4
1,887,11.4995,50,4
1,889,0.0,50,4
1,888,3.3325005,50,4
1,887,4.9995003,50,4
2,2662.0,4.9990005,50,4
1,885,15.832001,50,4
1,889,4.833,50,4
1,887,2.9990005,50,4
1,886,0.33300018,50,4
1,886,5.4995,50,4
1,866,3.498497,50,4
1,872,4.1665,50,4
8,64170.0,4.280258,50,4
4,11557.0,1.4940145,50,4
1,881,4.9995003,50,4
1,885,10.5,50,4
1,889,4.1660004,50,4
4,11579.0,6.3295245,50,4
1,889,6.333,50,4
5,18518.0,4.6523056,50,4
1,883,4.6660004,50,4
1,883,2.6665,50,4
1,880,3.6660004,50,4
1,878,0.49950027,50,4
1,889,1.6665001,50,4
1,883,1.1660004,50,4
2,2662.0,3.165001,50,4
1,866,2.4989967,50,4
1,886,3.4995003,50,4
1,889,2.4995003,50,4
3,6193.0,4.1630135,50,4
1,887,3.0,50,4
1,877,4.8325005,50,4
1,889,1.8330002,50,4
1,885,43.499496,50,4
1,880,0.49950027,50,4
1,887,3.8330002,50,4
1,885,4.4995003,50,4
1,887,1.1665001,50,4
1,881,11.333,50,4
3,6224.0,2.9970016,50,4
8,64092.0,4.773323,50,4
1,889,0.833,50,4
10,191038.0,3743.5327,40,3
3,6217.0,0.66348267,50,4
1,882,0.5,50,4
2,2640.0,4.163498,50,4
1,887,1.6665001,50,4
1,889,4.1660004,50,4
4,11543.0,2.996029,50,4
1,878,1.9995003,50,4
1,887,2.1665,50,4
1,884,0.8330002,50,4
1,887,2.4995003,50,4
1,885,2.4995003,50,4
1,889,4.1665,50,4
1,889,4.1660004,50,4
1,887,3.6665,50,4
1,884,2.8330002,50,4
1,889,4.9995003,50,4
1,887,74.666,50,4
1,889,5.6665,50,4
1,865,2.6655006,50,4
1,889,1.6665001,50,4
4,11531.0,1.9925346,50,4
9,106296.0,2.908409,50,4
1,884,3.4995003,50,4
3,6190.0,1.9969864,50,4
4,11566.0,3.6635628,50,4
1,887,3.5,50,4
8,64160.0,1.1141624,50,4
1,888,1.1665001,50,4
1,888,1.0,50,4
1,868,0.9985008,50,4
1,889,1.6665001,50,4
2,2644.0,4.6655045,50,4
1,875,4.1660004,50,4
1,889,0.0,50,4
1,888,2.8325005,50,4
1,886,1.6660004,50,4
1,888,3.3330002,50,4
1,886,15.833,50,4
